Complaint ID,URL,Title,User,Date,Full Text
bellona-zonguldak-oturma-grubunda-cokuk-yastik-ve-kirlent-sorunlari,https://www.sikayetvar.com/bellona/bellona-zonguldak-oturma-grubunda-cokuk-yastik-ve-kirlent-sorunlari,BellonaZonguldak Oturma Grubunda Çökük Yastık Ve Kırlent Sorunları,Emel,17 Ocak 22:03,"Bellona Zonguldak şubesinden Eylül ayında almış olduğum oturma grubunda, teslim edildikten sadece birkaç gün sonra ciddi Konfor sorunları yaşamaya başladım. Koltuğun yastıkları daha en başından çökük duruyor, oturup kalktıkça da koltuktan ses geliyor. Ayrıca kırlentlerin içi yeterince dolu olmadığı için sürekli büzüşüyor ve toparlanmıyor.
Yaşadığım bu sorunla ilgili mağaza ile görüştüğümde zamanla düzeleceği söylendi ancak aradan zaman geçmesine rağmen hiçbir düzelme olmadı. Senelerce kullanılacak diye alınan bir oturma grubunun daha ilk günlerden bu halde olması hem kalite hem de kullanım açısından beni ciddi anlamda hayal kırıklığına uğrattı.
Oturma grubundaki yastıkların daha sıkı ve kaliteli bir sünger ile değiştirilmesini ve kırlentlerin içinin tam ve düzgün şekilde doldurulmasını talep ediyorum. Ürünün uzun yıllar sorunsuz kullanılacak hale getirilmesi için gerekli işlemlerin yapılmasını istiyorum."
﻿teslim-edilmeyen-yatak-odasi-takimi-icin-acil-cozum-talebi,https://www.sikayetvar.com/bellona/teslim-edilmeyen-yatak-odasi-takimi-icin-acil-cozum-talebi,Teslim Edilmeyen Yatak Odası Takımı İçin Acil Çözüm Talebi,Kibriyo,18 Ocak 16:56,"Esenler Bellona mağazasından satın aldığım yatak odası takımım 07.10.2025 tarihinden beri teslim edilmedi. Satın alırken belirtilen süre geçmesine rağmen hâlâ ürünlerimi teslim alamadım.
Mağazaya başvurduğumda bana “geri döneceğiz” denildi ancak herhangi bir dönüş yapılmadı, bilgi de verilmedi. Sürekli bekletilmekten ve belirsizlikten dolayı mağdur durumdayım.
Yatak odası takımımın daha fazla gecikmeden, en kısa sürede acil olarak teslim edilmesini talep ediyorum."
﻿kapora-iadesi-26-gun-boyunca-gecikiyor-ve-magaza-geri-donus-yapmiyor,https://www.sikayetvar.com/bellona/kapora-iadesi-26-gun-boyunca-gecikiyor-ve-magaza-geri-donus-yapmiyor,Kapora İadesi 26 Gün Boyunca Gecikiyor Ve Mağaza Geri Dönüş Yapmıyor,Sema,17 Ocak 15:36,"22 Aralık’ta İstanbul Küçükçekmece’de bulunan Bellona Dost Grup mağazasına ürün almak için gittiğimde 1.000 TL kapora ödemesini nakit olarak yaptım. Daha sonra satıştan vazgeçmem üzerine kaporamıniadesini talep ettim ancak 26 gündür iadem yapılmadı.
Bu süreçte mağazayla 3 defa görüştüm. İlk görüşmede satışın iptal edilmediği söylendi. Sonrasında ise kasada para olmadığı, kasaya para geldikten sonra aranacağım ve iademin yapılacağı belirtildi. Ancak aradan günler geçmesine rağmen ne arayan oldu ne de herhangi bir geri dönüş yapıldı.
Ödemiş olduğum 1.000 TL kaporanın daha fazla gecikmeden banka hesabıma havale yoluyla iade edilmesini talep ediyorum. Sürecin uzatılmadan sonuçlandırılmasını rica ediyorum."
estella-model-koltuk-takiminda-2-ayda-kumas-toplanmasi-ve-sunger-yumusamasi,https://www.sikayetvar.com/bellona/estella-model-koltuk-takiminda-2-ayda-kumas-toplanmasi-ve-sunger-yumusamasi,Estella Model Koltuk Takımında 2 Ayda Kumaş Toplanması Ve Sünger Yumuşaması,Seda,18 Ocak 00:17,"Ankara Yeşilova Bellona mağazasından yaklaşık 2 ay önce Estella model bir koltuk takımı satın aldım. Ancak takımın üçlü koltuklarından birinde kumaşta belirgin bir toplanma ve süngerinde ciddi bir yumuşama oluştu. Ürünün bu kadar kısa sürede bu hale gelmesi, kalite beklentimin çok altında kaldı.
Yaşadığım sorun üzerine mağaza ile görüştüğümde, bu durumun “normal” olduğu ve 2 aylık kullanımda süngerin yumuşayabileceği ifade edildi. Yeni alınmış bir koltuğun bu kadar kısa sürede hem kumaşında toplanma yapması hem de süngerinin belirgin şekilde yumuşaması bana göre kabul edilebilir bir durum değildir.
Bu nedenle, ayıplı olduğunu düşündüğüm koltuğun ve gerekirse takımın tamamının değiştirilmesini talep ediyorum. Ürünün, Bellona kalitesine yakışır şekilde, sorunsuz ve uzun süreli kullanım sunacak biçimde tarafıma teslim edilmesini istiyorum."
deformasyon-ve-lekeli-ayipli-pandora-koltuk-takimi-cevapsiz-servis,https://www.sikayetvar.com/bellona/deformasyon-ve-lekeli-ayipli-pandora-koltuk-takimi-cevapsiz-servis,Deformasyon Ve Lekeli Ayıplı Pandora Koltuk Takımı Cevapsız Servis,Yıldız,17 Ocak 17:40,"Bellona’dan Denizli Merkez 4K Bellona mağazasından almış olduğum Pandora koltuk takımı 10.01.2025 tarihinde teslim edildi. Koltuk takımını kullanmaya başladığım ilk günden bu yana kumaşında belirgin şekilde deformasyon ve lekelenmeler oluşuyor. Ürünü son derece özenli kullanmama rağmen, kısa sürede bu hale gelmesi beni hayal kırıklığına uğrattı.
Konuyu mağazaya ilettim,servisyönlendirileceği ve inceleme yapılacağı söylendi ancak aradan zaman geçmesine rağmen herhangi bir servis gelmedi, tarafıma da dönüş yapılmadı. Ne ürün kalitesi ne de satış sonrası ilgi Bellona gibi bir markadan beklediğim seviyede değil.
Ayıplı olduğunu düşündüğüm bu Pandora koltuk takımının yenisiyle değiştirilmesini talep ediyorum. En kısa sürede benimle iletişime geçilerek gerekli işlemlerin başlatılmasını rica ederim."
bellona-magazasinin-soguk-ortami-musteri-sagligini-tehdit-ediyor,https://www.sikayetvar.com/bellona/bellona-magazasinin-soguk-ortami-musteri-sagligini-tehdit-ediyor,BellonaMağazasının Soğuk Ortamı Müşteri Sağlığını Tehdit Ediyor,Hatice,17 Ocak 15:28,"Bellona’nın Millet Mahallesi Derya Caddesi’indeki mağazasından yaklaşık bir buçuk ay önce alışveriş yaptık. Satış danışmanları gerçekten işini bilen, ilgili kişilerdi ve ürünlerden de genel olarak memnun kaldık. Ancak mağazanın fiziksel koşulları, özellikle de ısınma konusu bizi çok olumsuz etkiledi.
Mağazaya girdiğimiz andan itibaren içerinin dışarıdan bile daha soğuk olduğunu fark ettik. Yine de ürünlere bakmak için yaklaşık 2–3 saat mağazada kaldık ve bu süre içinde özellikle annem ciddi şekilde üşüdü. Sonuçta yaklaşık 75 bin TL’ye yakın bir alışveriş yaptık, oturup işlemleri tamamlarken de bu soğuk ortamda uzun süre kalmak zorunda kaldık ve annem bu süreçten sonra rahatsızlandı.
Böylesine büyük ve kurumsal bir firmanın mağazasını bu kadar soğuk bırakmasını, müşterilerinin bu kadar uzun süre üşüyerek alışveriş yapmak zorunda kalmasını anlayamıyorum. Ben Bellona’nın, Millet Mahallesi Derya Caddesi’indeki bu mağazasında ısınma ve iklimlendirme koşullarını acilen iyileştirerek müşterilerin sağlığını ve konforunu dikkate alan bir düzenleme yapmasını talep ediyorum."
nadia-koltuk-takimi-80-gun-gecikmesiyle-teslim-edilmedi,https://www.sikayetvar.com/bellona/nadia-koltuk-takimi-80-gun-gecikmesiyle-teslim-edilmedi,Nadia Koltuk Takımı 80 Gün Gecikmesiyle Teslim Edilmedi,Adem,17 Ocak 14:39,"11.11.2025 tarihinde Bellona Kaşüstü Trabzon Kudaş mağazasından Nadia koltuk takımı satın aldık. Satış esnasında ürünlerin en geç 45 gün içinde teslim edileceği söylendi, ancak üzerinden yaklaşık 70–80 gün geçmesine rağmen hâlâ hiçbir teslimat yapılmadı.
Bu süreçte mağaza ile defalarca görüştük. Tarafımıza sürekli sayım olduğu, yılbaşı araya girdiği gibi gerekçeler sunuldu. Daha önce aradığımızda ise koltuk takımının 26 Aralık’ta yola çıktığı bilgisi verildi, ancak buna rağmen bugün hâlâ ürünler elimize ulaşmadı.
Bu gecikme nedeniyle ciddi şekilde mağdur durumdayız. Evde oturmuş, sadece mobilyaların gelmesini bekliyoruz; aslında il değiştirmemiz gerekirken, sırf bu teslimat gerçekleşmediği için beklemek zorunda kaldık. Ne net bir tarih veriliyor ne de mağduriyetimizle ilgili somut bir çözüm sunuluyor.
Nadia koltuk takımımın hiçbir ek gecikme olmadan acilen teslim edilmesini ve yaşadığımız bu uzun süreli gecikme ve mağduriyet için makul birindirimya da telafi uygulanmasını talep ediyorum. Gerekli incelemenin yapılarak sürecin ivedilikle sonuçlandırılmasını istiyorum."
dugun-oncesi-hasarli-mobilyalar-icin-acil-degisim-talebi,https://www.sikayetvar.com/bellona/dugun-oncesi-hasarli-mobilyalar-icin-acil-degisim-talebi,Düğün Öncesi Hasarlı Mobilyalar İçin Acil Değişim Talebi,Adem,17 Ocak 14:14,"Bellona’dan Kasım ayında Nadia yatak odası takımı ve yemek masası sandalyelerini satın aldım. Ürünler 13.01.2026 tarihinde teslim edilip kurulurken, daha montaj anında pek çok hasar ve eksik olduğunu fark ettim.
Şifonyerin sol tarafında belirgin çizikler var ve çekmeceleri tam olarak kapanmıyor. Bazanın içinde yer alan gözlerden birinde sunta mevcutken diğer gözde hiç sunta yok. Aldığım 6 adet sandalyenin tamamında çizikler bulunuyor. Ayrıca yatak odası takımındaki çekmecelerin genelinde açma kapama sırasında zorluk yaşıyorum, rahatça çalışmıyorlar.
Teslimat sırasında bu durumu getiren ekibe ilettim, onlar da konuyu bayiye ileteceklerini söylediler. Ben de bununla yetinmeyip bizzat bayiye giderek tüm şikayetlerimi anlattım. Bayide, aciliyetimin iletildiği söylendi; ancak ben bu ürünleri alırken 45 gün içinde teslim edileceği söylenmişti, ürünler zaten geç geldi, şimdi de hasarlı ve sorunlu olarak teslim edildi. 14 Şubat’ta düğünüm var ve bu sebeple ciddi şekilde zaman baskısı altındayım.
Yaşadığım mağduriyetin giderilmesi için şifonyer, baza içi ve sandalyeler başta olmak üzere tüm hasarlı ve sorunlu parçaların acil şekilde eksiksiz ve hatasız olarak komple değiştirilmesini, bu değişimin de düğün tarihime, yani 14 Şubat’a kadar kesin olarak gerçekleştirilmesini talep ediyorum. Aksi halde ev kurulum sürecimde ciddi mağduriyet yaşayacağım. Sorunumun acil olarak dikkate alınmasını ve tarafıma net bir çözüm sunulmasını istiyorum."
bellona-oturma-suretiyle-kirilma-video,https://www.sikayetvar.com/bellona/bellona-oturma-suretiyle-kirilma-video,BellonaOturma Suretiyle Kırılma,Havva,17 Ocak 13:20,
ikili-koltugun-gecikmesi-ve-dugun-icin-acil-cozum,https://www.sikayetvar.com/bellona/ikili-koltugun-gecikmesi-ve-dugun-icin-acil-cozum,İkili Koltuğun Gecikmesi Ve Düğün İçin Acil Çözüm,Merve,17 Ocak 11:29,"Kasım ayının ortasında, 16 Kasım tarihinde İstanbul Eyüp Sayayokuşu’ndaki Bellona şubesinden oturma odası ve yemek odası takımı satın aldım. Oturma odası takımı kapsamında bir üçlü ve bir ikili koltuk aldım. Satın alma sırasında ürünlerin teslimat süresinin 45 gün olduğu özellikle ifade edildi.
Aradan geçen süreye rağmen yalnızca üçlü koltuğum teslim edildi, ikili koltuğum ise hâlâ teslim edilmedi. Mağaza ile görüştüğümde ikili koltuğun ancak ocak sonunda gelebileceği söyleniyor. Ancak bu tarih benim için çok geç, çünkü düğünüm var ve koltuğum gelmediği için diğer eşyalarımı da tamamlayamıyor, evimi yerleştiremiyorum.
Satın alma sırasında belirtilen 45 günlük teslim süresine uyulmasını, ikili koltuğumun acil olarak temin edilmesini veya bu konuda mağduriyetimi giderecek şekilde ivedi bir çözüm üretilmesini talep ediyorum."
